elapsed_s,real_x,real_y,real_yaw,sim_x,sim_y,sim_yaw,position_error,heading_error,real_velocity_x,real_velocity_y,real_yaw_rate,sim_velocity_x,sim_velocity_y,sim_yaw_rate,real_fl_rpm,real_fr_rpm,real_front_rpm,real_motor_rpm,sim_fl_rpm,sim_fr_rpm,sim_front_rpm,sim_motor_rpm,front_wheel_rpm_error,motor_rpm_error
1.76192,-6.93367,25.2104,-2.83964,15.1553,21.1069,1.86747,22.4669,-1.57608,5.7615,0,0.549324,6.3708,0.481748,0.467059,303.399994,338.109985,320.754990,1020.000000,323.547,352.504,338.025,1250.17,17.2704,230.165
1.78132,-7.47812,25.0007,-2.79057,14.969,21.5635,1.90182,22.7088,-1.59079,8.28023,0,0.504691,6.2945,0.444237,0.429497,296.980011,340.040009,318.510010,1298.000000,318.597,345.133,331.865,1276.46,13.3547,-21.537
1.80074,-7.92684,24.8273,-2.75362,14.7686,22.0158,1.93471,22.8689,-1.59486,6.18063,0,0.542581,6.5145,0.44848,0.43554,315.179993,345.109985,330.144989,1005.000000,330.714,357.77,344.242,1302.59,14.097,297.592
1.82016,-8.40722,24.5666,-2.71188,14.5502,22.4711,1.96679,23.0529,-1.60452,7.19244,0,0.51906,6.30771,0.411564,0.396045,299.829987,333.600006,316.714996,1375.000000,322.222,346.959,334.591,1152.87,17.8755,-222.131
1.83956,-8.84407,24.3575,-2.6788,14.3309,22.8966,1.99637,23.221,-1.60802,5.7663,0,0.374605,5.86249,0.385799,0.369093,309.250000,256.359985,282.804993,954.000000,299.669,322.854,311.261,1027.98,28.4565,73.9793
1.85899,-9.27074,24.1099,-2.64365,14.1205,23.2762,2.02381,23.4061,-1.61573,7.89697,0,0.521481,5.2934,0.363149,0.345886,301.200012,337.200012,319.200012,954.000000,270.885,292.639,281.762,816.346,-37.438,-137.654
1.87829,-9.64064,23.9018,-2.61337,13.9243,23.6053,2.04975,23.5668,-1.62007,5.4534,0,0.472529,4.74643,0.361191,0.332847,307.429993,338.480011,322.955002,910.000000,241.966,262.76,252.363,962.833,-70.5923,52.8334
1.89772,-10.1735,23.5421,-2.57009,13.722,23.9199,2.07735,23.8985,-1.63575,7.31211,0,0.627976,4.61834,0.37998,0.360736,298.899994,328.859985,313.879990,1155.000000,234.59,257.295,245.943,838.277,-67.9375,-316.723
1.91722,-10.557,23.2831,-2.52185,13.5265,24.1983,2.10659,24.1009,-1.65475,5.2415,0,0.584813,4.16738,0.416403,0.394779,291.100006,329.640015,310.370010,1174.000000,211.204,235.598,223.401,741.246,-86.9689,-432.754
1.93654,-10.9341,22.9667,-2.46682,13.3427,24.4367,2.13682,24.3212,-1.67954,5.70171,0,0.791205,3.52476,0.402857,0.382449,279.200012,386.160004,332.680008,1024.000000,178.512,202.267,190.39,508.355,-142.29,-515.645
1.95585,-11.1517,22.7856,-2.42839,13.1829,24.6263,2.16482,24.4041,-1.68997,5.86851,0,0.762485,2.91193,0.376663,0.348564,264.100006,328.690002,296.395004,1024.000000,144.98,165.912,155.446,694.325,-140.949,-329.675
