try,kind,status,score,param.steering.ackerman_factor,param.tire.slip_angle_relaxation_length,param.tire.lateral_peak_scale,param.tire.lateral_stiffness_scale,param.tire.lateral_peak_pdy1,param.tire.lateral_stiffness_pky1,param.tire.lateral_curvature_pey1,param.tire.structural_lateral_stiffness,param.tire.structural_yaw_stiffness,stage,parameter,step_size,search_radius,position_rmse,heading_rmse,velocity_rmse,velocity_x_rmse,velocity_y_rmse,yaw_rate_rmse,front_wheel_rpm_rmse,motor_rpm_rmse,samples,error,warning
43,staged_genetic,ok,48.50643387715069,0.052801357293120625,0.0008018210131772793,1.857178159888993,4.690346766288288,3.4905885593013553,-193.436772653117,0.18009063183390267,464123.04727287067,32046.828819102404,skidpad_turning,,,,11.432374491943536,1.519788128022627,1.85920839696027,1.846316677960796,0.21856483708817898,0.2420346245098645,84.21219601620597,293.54298243875695,736,,
44,staged_genetic_long_eval,ok,48.19077240005247,0.03662783682109039,0.0006121206764727643,1.7880537245871482,4.566220187979804,3.6268745005672924,-194.2456830811631,0.17850894806974682,466201.11451068264,31151.209671359844,skidpad_turning,,,,11.231204866772192,1.4870616265158219,1.8795533083444218,1.8669706748874277,0.21712010044868602,0.24690287015848894,84.9578365802624,296.67730873083445,740,,
45,staged_genetic,ok,63.64530701467064,0.02083912106332981,0.0,1.8786043074007979,4.833018161366247,3.499106715535468,-180.46236949977038,0.16895892089672593,472694.0919710117,34577.73376398522,feup_turning_validation,,,,18.481640338653648,1.4007555833341063,2.7389694887411387,2.7045876189001197,0.43261954642279754,0.26732252781933846,137.7187100001882,512.4217360022617,593,,
46,staged_genetic,ok,61.978025620516654,0.02014380290672936,0.000617655544751172,1.7842199470404208,4.7859404006601105,3.5603622551740504,-180.9213336148583,0.1502034125597133,460340.0184713925,39816.77528236202,feup_turning_validation,,,,18.29616700631651,1.392300910786588,2.599291024609957,2.563243608766326,0.43138849397783285,0.2626339505532216,130.87796317256303,481.51099021466905,570,,
47,staged_genetic,ok,68.63589108678342,0.031106997901589675,0.000649839142460084,1.9523652392137327,4.624940070378827,3.697635122168146,-185.7556972785094,0.15448289422462747,462241.11802000355,36834.66020498956,feup_turning_validation,,,,18.73848120782209,1.3271241667427542,3.2834879277843267,3.257680706031172,0.4108641983157589,0.2891463366553186,151.78284575572357,587.5523696957107,595,,
48,staged_genetic,ok,63.278226112143756,0.0191200075160257,0.00025228349657492404,1.8642677543346664,4.8042213350212775,3.4879454429196426,-167.5028913321498,0.14910234969342537,446713.14942641737,35876.86476622671,feup_turning_validation,,,,18.389472729146398,1.3817582483231912,2.721100108098967,2.686718128847542,0.4311977439854833,0.26762293317912406,139.79788975238344,508.8186247847579,588,,
49,staged_genetic,ok,63.00317164518333,0.033378155461635334,0.0,1.872921116814725,4.43261534389137,3.581627513094214,-209.69777037739917,0.20592539391326348,455154.4350756328,33155.05944423377,feup_turning_validation,,,,18.34389259638303,1.380345677315497,2.720425262088888,2.6881733397571943,0.41765739791131307,0.26473114802909625,131.1084052240615,487.6414979138428,591,,
50,staged_genetic,ok,64.0229885006801,0.02199180151545166,0.0,1.8693078930851346,4.753585646343179,3.5937806922292532,-177.27431872572362,0.134518979034232,404668.86369187763,34275.78851533349,feup_turning_validation,,,,18.544457765684903,1.3705053945304795,2.8022482229352788,2.7714775003054943,0.41413472233601506,0.2674707228938119,133.75486208233244,500.0368626464232,593,,
51,staged_genetic,ok,64.27072657868018,0.02223104511856278,0.000645506983571375,1.999380913349218,4.979367242253906,3.664244171342986,-177.27529314529434,0.15428384939729037,466129.8361447773,36037.64690980586,feup_turning_validation,,,,18.502389761114657,1.3873805167453432,2.806266469046815,2.7727715982081653,0.432283656256659,0.26851390363626804,140.8047469442804,534.8833369009226,588,,
52,staged_genetic,ok,63.832275409546874,0.008572826693436978,0.00038338690276607456,1.8065524579069419,5.185026807450944,3.6019880788792937,-171.24802313690665,0.19792679666157312,460361.25017810107,34801.12513491843,feup_turning_validation,,,,18.39600836204267,1.3752792518482828,2.7944242398261387,2.761139548133969,0.4300177064475834,0.2675490206880482,137.51264518951726,510.0753761236864,594,,
53,staged_genetic,ok,62.813004602094566,0.030429431495484625,0.0003739649458096821,1.8682668650355683,4.884368547611397,3.3798538257676105,-185.544164265956,0.1755311432028406,502824.60349523777,36765.56067729501,feup_turning_validation,,,,17.940672631109013,1.4111685413575543,2.735862282644308,2.7002566176213887,0.439950711543489,0.2621734382479965,138.00671905267168,526.095179956874,587,,
54,staged_genetic,ok,66.30897807624277,0.0249406150670428,0.0003326789928156912,1.8447529032449288,4.73079811840876,3.551791270114847,-159.82844853648095,0.21516313374235432,494235.2914957142,34363.52798394961,feup_turning_validation,,,,17.646694525967632,1.3918969835137838,3.1885021765248904,3.159855056985508,0.4264529851543703,0.27784793821667253,153.13568735269016,570.5390369507542,592,,
55,staged_genetic,ok,62.67000273189923,0.02780723133886462,0.0,1.9185939631625706,4.502188441091656,3.3587978883168206,-178.55689977797277,0.17704187563315238,515804.848400625,32266.539827715333,feup_turning_validation,,,,17.86957404941764,1.4018091351476862,2.748849854315021,2.715229018646172,0.42861042669242116,0.26649150071021627,134.6820683996433,499.4774130292754,591,,
56,staged_genetic,ok,64.1545550882988,0.13643930083148692,0.004202006657272856,2.587627501129224,3.827065582061053,4.283339371802683,-153.92451868857904,0.1528332722905824,667986.5408214334,60582.626866276434,feup_turning_validation,,,,18.517841723362462,1.3552445530808686,2.8181734854741216,2.7860980954111203,0.42398018465003856,0.27028254907685895,137.91037477009118,512.4361589417073,590,,
57,staged_genetic_long_eval,ok,62.5687315764543,0.02014380290672936,0.000617655544751172,1.7842199470404208,4.7859404006601105,3.5603622551740504,-180.9213336148583,0.1502034125597133,460340.0184713925,39816.77528236202,feup_turning_validation,,,,18.60601352784432,1.3851968929142757,2.6128550792157643,2.5774531455712473,0.4286571443105767,0.2675734333468653,128.78994028929017,481.9896729249672,577,,
58,staged_genetic,ok,63.450455666061025,0.02014380290672936,0.000617655544751172,1.7842199470404208,4.7859404006601105,3.5603622551740504,-180.9213336148583,0.1502034125597133,460340.0184713925,39816.77528236202,feup_turning_validation,,,,18.174857749752476,1.391755477106962,2.7835319185455343,2.7497118367247704,0.4325907494820909,0.26302585414962454,138.33984195120055,513.6689330877794,588,,
